image,text
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/0_6aa7b081-ff30-4886-898c-8a3d6e1810dc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/1_0ec75379-6c02-4edf-bb82-cfc489c0cfe6_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/2_2469d7bd-72b0-49b4-bd68-13d058491f1c_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/3_6f24d5bd-6e84-48a2-ba10-85b7a557dcbc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/4_77930629-2531-4c2e-ab08-a9bc52bdbdbc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/5_08f1205e-e28a-4bb7-b332-78dc6eb97b64_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/6_d5143d47-4d4f-43d5-9d5e-ac0739f5c304_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/7_fdca19f2-b1f0-496a-be61-0a740e8dc7dc_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/8_19509d69-4da6-4554-8bd3-bd8f55318a56_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/9_8e800aea-d4d5-4e69-9465-82b87722ff62_img.png,cat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/0_f72c240d-8bfa-4fbe-a69d-1b724c72b3ca_img.png,cat+with+rat
/home/hestabit/stable_diffusion_pipeline/DGT_STABLE_DIFFUSION-ALPHA/training_txt_to_img/train/1_25ee7ca5-5305-4895-b508-057bc325e3c6_img.png,cat+with+rat
